"","id","district","mathscore","pct_female","pct_minority","pct_lep","pct_sped","pct_lowinc","pct_mathremed","mobility","computer_home","computer_school","pct_fouryear","pct_twoyear","pct_work","avg_absences","st_ratio","avg_salary","enroll","ppe","urban","charter","votech","pct_licensed","pct_lic_core","pct_in_school_susp","pct_out_school_susp","averageclasssize"
"122",2310000,"Pembroke",252.160003662109,48.2999992370605,0.900000035762787,0,11.8000001907349,10.3000001907349,16.0000019073486,2,3,3,58.7000007629395,29.7000007629395,9.69999980926514,8.60000038146973,16.5,57.466,926,8.98900032043457,0,0,0,99.5,99.5999984741211,0.400000005960464,0.699999988079071,20.6000003814697
"123",2360000,"Pittsfield",243.313079833984,48.2999992370605,16.6999988555908,3.5,16.7999992370605,43.5,17.9894180297852,2,2,1,36.7000007629395,38.7000007629395,13.6000003814697,9.30000019073486,12.3000001907349,54.811,2012,11.4870004653931,1,0,0,97.6999969482422,92.8000030517578,5.30000019073486,6.30000019073486,16.7999992370605
"124",2390000,"Plymouth",248.14729309082,48.4000015258789,5.40000009536743,0.600000023841858,16.8999996185303,21.7000007629395,7.62331771850586,2,3,2,47.2999992370605,19.7000007629395,21.3999996185303,8.89999961853027,13.8999996185303,60.512,2566,11.2709999084473,0,0,0,99.5,97.5,0.699999988079071,4.19999980926514,17.5
"125",2420000,"Provincetown",248.923080444336,56.4000015258789,19.5,5.59999990463257,27.6000003814697,31.2999992370605,7.69230794906616,1,1,2,58.4000015258789,25,8.30000019073486,11.6999998092651,6.30000019073486,57.877,70,25.0990009307861,0,0,0,100,100,NA,NA,9.69999980926514
"126",2430000,"Quincy",250.370132446289,46.7000007629395,10,12.5,16.7999992370605,37.2999992370605,5.62248992919922,2,2,1,47.4000015258789,14.3000001907349,9.39999961853027,9.5,12.6000003814697,58.655,2916,12.2950000762939,0,0,0,99.3000030517578,100,0.200000002980232,3.20000004768372,19
"127",2440000,"Randolph",244.483520507812,46.5999984741211,59.8999977111816,8.69999980926514,22,43.0999984741211,3.9325840473175,1,2,2,67.4000015258789,15,15.1000003814697,8.69999980926514,14.8000001907349,53.673,870,10.6400003433228,0,0,0,99.5999984741211,96.6999969482422,0.699999988079071,5.40000009536743,26.8999996185303
"128",2460000,"Reading",257.828033447266,48.2000007629395,3,0.400000005960464,16.7999992370605,3.59999990463257,6.77419376373291,3,3,2,79.5,9.69999980926514,4.20000028610229,6.69999980926514,15.5,55.008,1259,10.1490001678467,0,0,0,99.5,98.3000030517578,0.400000005960464,1,19.3999996185303
"129",2480000,"Revere",250.459533691406,48.7999992370605,41.2000007629395,10.1999998092651,14,62.2999992370605,7.07964611053467,2,2,1,45.7999992370605,31.6000003814697,16.6999988555908,8.69999980926514,14.3999996185303,60.658,1597,11.0170001983643,1,0,0,99.5999984741211,100,0.200000002980232,3.09999990463257,19.7000007629395
"130",2510000,"Rockland",249.078018188477,47.7999992370605,9.19999980926514,1.79999995231628,16.1000003814697,21.1000003814697,2.30769228935242,2,2,1,63.1999969482422,20.8999996185303,9.80000019073486,9.39999961853027,16.8999996185303,52.725,674,10.3629999160767,0,0,0,100,100,0.100000001490116,2.20000004768372,18.2999992370605
"131",2520000,"Rockport",250.255325317383,47.7999992370605,3.5,0.200000002980232,18.3999996185303,12.1999998092651,10.8695650100708,2,3,3,68,16,10.6000003814697,8,12.5,55.841,357,12.0989999771118,0,0,0,100,100,1.60000002384186,1.89999997615814,15.5
"132",2580000,"Salem",243.365310668945,48.5999984741211,36.7999992370605,10.3000001907349,20.8999996185303,43.0999984741211,12.5,2,2,1,27,56.9000015258789,8.39999961853027,10.8000001907349,10.5,49.602,1313,13.664999961853,0,0,0,99,98.9000015258789,4.59999990463257,4.5,16.8999996185303
"133",2610000,"Sandwich",258.056213378906,48.2000007629395,1.20000004768372,0.100000001490116,15.6999998092651,6,3.62903213500977,2,2,2,68,17.3999996185303,3.29999995231628,7.59999990463257,15.1999998092651,55.354,1020,9.5600004196167,0,0,0,98.9000015258789,98.9000015258789,0.699999988079071,1.39999997615814,17.7000007629395
"134",2620000,"Saugus",249.405120849609,49,9.30000019073486,1.29999995231628,14.3000001907349,14.5,8.51063919067383,2,2,1,52.7000007629395,23.4000015258789,2.90000009536743,9.80000019073486,16.2000007629395,55.293,847,10.8249998092651,0,0,0,100,99.5999984741211,6.09999990463257,4.59999990463257,18.3999996185303
"135",2640000,"Scituate",255.980865478516,49.7999992370605,3.10000014305115,0.899999976158142,13.1999998092651,5,8.86588001251221,2,3,2,82.1999969482422,7.59999990463257,0.800000011920929,8.80000019073486,13.3000001907349,59.935,875,9.7810001373291,0,0,0,100,99.5,0.200000002980232,0.600000023841858,18.7999992370605
"136",2650000,"Seekonk",245.358489990234,49.9000015258789,2.79999995231628,0.300000011920929,12.1000003814697,8.5,5.1282057762146,2,3,3,56,23.7000007629395,15.3000001907349,7.59999990463257,15.6000003814697,61.779,655,9.53499984741211,0,0,0,99.9000015258789,99.6999969482422,4.30000019073486,2.79999995231628,18.7999992370605
"137",2660000,"Sharon",264.530456542969,50,8,0.899999976158142,13,3.20000004768372,2.21402192115784,3,3,1,93.5999984741211,3.20000004768372,0.400000005960464,6.90000009536743,13.6000003814697,58.91,1094,12.2040004730225,0,0,0,99.9000015258789,99.5,2.09999990463257,1.5,18.3999996185303
"138",2710000,"Shrewsbury",259.340087890625,49,6.19999980926514,3.09999990463257,16.2000007629395,9.39999961853027,5.60000038146973,2,3,3,78.0999984741211,13.1999998092651,1.60000002384186,6.59999990463257,16.2000007629395,56.027,1629,9.0930004119873,0,0,0,99.3000030517578,99.5999984741211,0,0.200000002980232,24
"139",2730000,"Somerset",253.692306518555,49.7999992370605,1.89999997615814,0,10.6000003814697,10.6999998092651,9.5238094329834,2,3,2,58,31.8999996185303,6.69999980926514,8,12.5,53.973,990,11.1190004348755,0,0,0,100,99.5,0.5,1.29999995231628,20.3999996185303
